Construct;TimePoint;Conductivity;Leaf
CP106 + RX-NLS;0;15;A
CP106 + RX-NLS;0;37;A
CP106 + RX-NLS;0;10;A
CP106 + RX-NES;0;18;A
CP106 + RX-NES;0;19;A
CP106 + RX-NES;0;15;A
CP106 + RX;0;33;A
CP106 + RX;0;30;A
CP106 + RX;0;30;A
CP105 + RX-NLS;0;10;A
CP105 + RX-NLS;0;22;A
CP105 + RX-NLS;0;20;A
CP105 + RX-NES;0;10;A
CP105 + RX-NES;0;17;A
CP105 + RX-NES;0;19;A
CP105 + RX;0;16;A
CP105 + RX;0;16;A
CP105 + RX;0;14;A
CP106 + RX-NLS;1;35;A
CP106 + RX-NLS;1;45;A
CP106 + RX-NLS;1;37;A
CP106 + RX-NES;1;32;A
CP106 + RX-NES;1;29;A
CP106 + RX-NES;1;31;A
CP106 + RX;1;85;A
CP106 + RX;1;60;A
CP106 + RX;1;57;A
CP105 + RX-NLS;1;15;A
CP105 + RX-NLS;1;28;A
CP105 + RX-NLS;1;30;A
CP105 + RX-NES;1;20;A
CP105 + RX-NES;1;25;A
CP105 + RX-NES;1;27;A
CP105 + RX;1;27;A
CP105 + RX;1;25;A
CP105 + RX;1;29;A
CP106 + RX-NLS;2;57;A
CP106 + RX-NLS;2;72;A
CP106 + RX-NLS;2;54;A
CP106 + RX-NES;2;59;A
CP106 + RX-NES;2;61;A
CP106 + RX-NES;2;48;A
CP106 + RX;2;140;A
CP106 + RX;2;142;A
CP106 + RX;2;104;A
CP105 + RX-NLS;2;21;A
CP105 + RX-NLS;2;36;A
CP105 + RX-NLS;2;35;A
CP105 + RX-NES;2;22;A
CP105 + RX-NES;2;32;A
CP105 + RX-NES;2;29;A
CP105 + RX;2;42;A
CP105 + RX;2;39;A
CP105 + RX;2;39;A
CP106 + RX-NLS;3;103;A
CP106 + RX-NLS;3;155;A
CP106 + RX-NLS;3;117;A
CP106 + RX-NES;3;83;A
CP106 + RX-NES;3;91;A
CP106 + RX-NES;3;75;A
CP106 + RX;3;187;A
CP106 + RX;3;177;A
CP106 + RX;3;143;A
CP105 + RX-NLS;3;29;A
CP105 + RX-NLS;3;41;A
CP105 + RX-NLS;3;45;A
CP105 + RX-NES;3;29;A
CP105 + RX-NES;3;36;A
CP105 + RX-NES;3;31;A
CP105 + RX;3;57;A
CP105 + RX;3;58;A
CP105 + RX;3;59;A
CP106 + RX-NLS;4;200;A
CP106 + RX-NLS;4;200;A
CP106 + RX-NLS;4;185;A
CP106 + RX-NES;4;122;A
CP106 + RX-NES;4;133;A
CP106 + RX-NES;4;102;A
CP106 + RX;4;200;A
CP106 + RX;4;200;A
CP106 + RX;4;196;A
CP105 + RX-NLS;4;40;A
CP105 + RX-NLS;4;47;A
CP105 + RX-NLS;4;48;A
CP105 + RX-NES;4;31;A
CP105 + RX-NES;4;41;A
CP105 + RX-NES;4;40;A
CP105 + RX;4;86;A
CP105 + RX;4;71;A
CP105 + RX;4;73;A
CP106 + RX-NLS;0;16;B
CP106 + RX-NLS;0;10;B
CP106 + RX-NLS;0;12;B
CP106 + RX-NES;0;13;B
CP106 + RX-NES;0;30;B
CP106 + RX-NES;0;19;B
CP106 + RX;0;31;B
CP106 + RX;0;30;B
CP106 + RX;0;28;B
CP105 + RX-NLS;0;11;B
CP105 + RX-NLS;0;30;B
CP105 + RX-NLS;0;18;B
CP105 + RX-NES;0;11;B
CP105 + RX-NES;0;9;B
CP105 + RX-NES;0;10;B
CP105 + RX;0;13;B
CP105 + RX;0;8;B
CP105 + RX;0;10;B
CP106 + RX-NLS;1;25;B
CP106 + RX-NLS;1;30;B
CP106 + RX-NLS;1;22;B
CP106 + RX-NES;1;29;B
CP106 + RX-NES;1;42;B
CP106 + RX-NES;1;32;B
CP106 + RX;1;77;B
CP106 + RX;1;82;B
CP106 + RX;1;90;B
CP105 + RX-NLS;1;18;B
CP105 + RX-NLS;1;40;B
CP105 + RX-NLS;1;21;B
CP105 + RX-NES;1;16;B
CP105 + RX-NES;1;14;B
CP105 + RX-NES;1;13;B
CP105 + RX;1;19;B
CP105 + RX;1;13;B
CP105 + RX;1;15;B
CP106 + RX-NLS;2;46;B
CP106 + RX-NLS;2;51;B
CP106 + RX-NLS;2;41;B
CP106 + RX-NES;2;50;B
CP106 + RX-NES;2;73;B
CP106 + RX-NES;2;65;B
CP106 + RX;2;137;B
CP106 + RX;2;133;B
CP106 + RX;2;195;B
CP105 + RX-NLS;2;27;B
CP105 + RX-NLS;2;44;B
CP105 + RX-NLS;2;28;B
CP105 + RX-NES;2;21;B
CP105 + RX-NES;2;20;B
CP105 + RX-NES;2;20;B
CP105 + RX;2;28;B
CP105 + RX;2;24;B
CP105 + RX;2;23;B
CP106 + RX-NLS;3;104;B
CP106 + RX-NLS;3;101;B
CP106 + RX-NLS;3;78;B
CP106 + RX-NES;3;92;B
CP106 + RX-NES;3;125;B
CP106 + RX-NES;3;117;B
CP106 + RX;3;151;B
CP106 + RX;3;162;B
CP106 + RX;3;210;B
CP105 + RX-NLS;3;35;B
CP105 + RX-NLS;3;31;B
CP105 + RX-NLS;3;31;B
CP105 + RX-NES;3;26;B
CP105 + RX-NES;3;24;B
CP105 + RX-NES;3;21;B
CP105 + RX;3;39;B
CP105 + RX;3;34;B
CP105 + RX;3;34;B
CP106 + RX-NLS;4;170;B
CP106 + RX-NLS;4;163;B
CP106 + RX-NLS;4;116;B
CP106 + RX-NES;4;124;B
CP106 + RX-NES;4;170;B
CP106 + RX-NES;4;171;B
CP106 + RX;4;180;B
CP106 + RX;4;177;B
CP106 + RX;4;240;B
CP105 + RX-NLS;4;38;B
CP105 + RX-NLS;4;48;B
CP105 + RX-NLS;4;35;B
CP105 + RX-NES;4;32;B
CP105 + RX-NES;4;26;B
CP105 + RX-NES;4;26;B
CP105 + RX;4;53;B
CP105 + RX;4;52;B
CP105 + RX;4;48;B