Construct;Time;Autofluorescence;Experiment
CP105;1;1,038095238;1
CP105;1;0,93346574;1
CP105;1;0,945826645;1
CP105;1;0,91797024;1
CP105;1;0,969267139;1
CP105;1;0,917475728;1
CP105;1;0,933453237;1
CP105;1;0,846860263;1
CP105;1;0,908695652;1
CP105;1;0,946331716;1
CP105;1;0,892744479;1
CP105;1;0,931919261;1
CP105;1;0,935779817;1
CP105;1;0,910877669;1
CP105;1;0,982321291;1
CP105;1;0,963594621;1
CP105;1;0,964627151;1
CP105;1;0,955555556;1
CP105;1;0,938373571;1
CP105;1;0,973490427;1
CP105;1;0,924337206;1
CP105;1;0,924460432;1
CP105;1;0,927350427;1
CP105;1;0,942663043;1
CP105;1;0,939006024;1
CP105;1;0,922216004;1
CP105;1;0,931180691;1
CP105;1;0,979509843;1
CP105;1;0,93407356;1
CP105;1;1,013632719;1
CP105;1;1,008482143;1
CP105;1;0,966195157;1
CP105;1;0,893862613;1
CP105;1;0,971107994;1
CP105;1;0,97311828;1
CP105;1;0,897435897;1
CP105;1;0,93619403;1
CP105;1;0,915327979;1
CP105;1;0,911937378;1
CP105;1;0,937445447;1
CP105;1;0,880148817;1
CP105;1;0,919701214;1
CP105;1;0,936116152;1
CP105;1;0,952068824;1
CP105;1;0,960456003;1
CP105;1;0,921079258;1
CP105;1;0,925888325;1
CP106;1;0,967687647;1
CP106;1;0,967532468;1
CP106;1;0,956353472;1
CP106;1;0,914639011;1
CP106;1;1,005277973;1
CP106;1;0,874022589;1
CP106;1;0,984851962;1
CP106;1;0,956202933;1
CP106;1;0,931824532;1
CP106;1;0,939173192;1
CP106;1;0,930493274;1
CP106;1;0,955871886;1
CP106;1;1,020364983;1
CP106;1;1,088373656;1
CP106;1;1,026409018;1
CP106;1;1,222760291;1
CP106;1;0,968191565;1
CP106;1;0,964522417;1
CP106;1;1,133837553;1
CP106;1;0,954492415;1
CP106;1;0,951300357;1
CP106;1;0,930636968;1
CP106;1;0,916809117;1
CP106;1;0,952250086;1
CP106;1;1,012685644;1
CP106;1;1,012658228;1
CP106;1;0,970719287;1
CP106;1;0,990252294;1
CP106;1;1,076118326;1
CP106;1;0,960789544;1
CP106;1;0,952526022;1
CP106;1;0,941537762;1
CP106;1;0,936555891;1
CP106;1;0,957330416;1
CP106;1;0,92096635;1
CP106;1;0,931323617;1
CP106;1;0,937811484;1
CP106;1;0,95909377;1
CP106;1;0,968315301;1
CP106;1;0,975144364;1
CP106;1;1,05619234;1
CP106;1;0,95054805;1
CP106;1;0,988877119;1
CP106;1;0,941948511;1
CP106;1;0,93477707;1
CP106;1;0,943773585;1
CP106;1;0,903635722;1
CP105;1;1,038815713;2
CP105;1;0,993688693;2
CP105;1;0,94335676;2
CP105;1;0,938782859;2
CP105;1;1,014999202;2
CP105;1;0,878519659;2
CP105;1;0,890753482;2
CP105;1;0,894717099;2
CP105;1;0,92753921;2
CP105;1;0,950928471;2
CP105;1;0,884862212;2
CP105;1;0,886600788;2
CP105;1;0,924646372;2
CP105;1;0,932463546;2
CP105;1;0,961434758;2
CP105;1;1,037465374;2
CP105;1;0,910492724;2
CP105;1;0,9058568;2
CP105;1;0,939587842;2
CP105;1;0,942312981;2
CP105;1;0,872967889;2
CP105;1;0,915032336;2
CP105;1;0,891285516;2
CP105;1;0,889453533;2
CP105;1;0,959830288;2
CP105;1;0,945022154;2
CP105;1;0,863043225;2
CP105;1;0,921435156;2
CP105;1;0,950640949;2
CP105;1;0,911638521;2
CP105;1;0,954879508;2
CP105;1;0,89964476;2
CP105;1;0,888928751;2
CP105;1;0,905026563;2
CP105;1;0,934918648;2
CP105;1;0,860196025;2
CP105;1;0,89670379;2
CP105;1;0,823183183;2
CP105;1;0,897933053;2
CP105;1;0,862885769;2
CP105;1;0,841017859;2
CP105;1;0,976327575;2
CP105;1;0,963092797;2
CP105;1;0,947568455;2
CP105;1;0,958040903;2
CP105;1;0,933153753;2
CP105;1;0,891574586;2
CP106;1;0,981583141;2
CP106;1;0,919307416;2
CP106;1;0,913001912;2
CP106;1;0,909073075;2
CP106;1;0,938459352;2
CP106;1;0,927420081;2
CP106;1;0,874391135;2
CP106;1;0,922257181;2
CP106;1;0,881465022;2
CP106;1;0,874691395;2
CP106;1;0,914139664;2
CP106;1;0,936505964;2
CP106;1;0,950848972;2
CP106;1;1,008697296;2
CP106;1;0,905616676;2
CP106;1;1,19357195;2
CP106;1;0,921374253;2
CP106;1;0,925502805;2
CP106;1;1,152523738;2
CP106;1;0,868205408;2
CP106;1;0,892062601;2
CP106;1;0,913885899;2
CP106;1;0,899299908;2
CP106;1;0,889662757;2
CP106;1;0,929657228;2
CP106;1;0,996632745;2
CP106;1;0,903160726;2
CP106;1;0,924879562;2
CP106;1;0,963739377;2
CP106;1;0,957285612;2
CP106;1;0,893134877;2
CP106;1;0,86714758;2
CP106;1;0,852010901;2
CP106;1;0,874521583;2
CP106;1;0,859981879;2
CP106;1;0,847746736;2
CP106;1;0,894588856;2
CP106;1;0,861146497;2
CP106;1;0,871039747;2
CP106;1;0,950995213;2
CP106;1;0,883389961;2
CP106;1;0,951446989;2
CP106;1;1,00313899;2
CP106;1;0,914637936;2
CP106;1;0,913308994;2
CP106;1;0,912758818;2
CP106;1;0,9077919;2
CP105;2;0,959398496;1
CP105;2;0,851373717;1
CP105;2;0,908507223;1
CP105;2;0,827546738;1
CP105;2;0,939716312;1
CP105;2;0,889563107;1
CP105;2;0,856789568;1
CP105;2;0,75006205;1
CP105;2;0,815652174;1
CP105;2;0,892092492;1
CP105;2;0,800210305;1
CP105;2;0,813547725;1
CP105;2;0,870030581;1
CP105;2;0,890545578;1
CP105;2;0,935818601;1
CP105;2;0,90652673;1
CP105;2;0,975462078;1
CP105;2;0,9138322;1
CP105;2;0,862770013;1
CP105;2;0,914580265;1
CP105;2;0,836759011;1
CP105;2;0,876798561;1
CP105;2;0,835775336;1
CP105;2;0,889130435;1
CP105;2;0,926957831;1
CP105;2;0,920817012;1
CP105;2;0,822243966;1
CP105;2;0,924869425;1
CP105;2;0,89833449;1
CP105;2;0,984763432;1
CP105;2;0,899776786;1
CP105;2;0,91992328;1
CP105;2;0,839808559;1
CP105;2;0,890603086;1
CP105;2;0,865308432;1
CP105;2;0,7743082;1
CP105;2;0,912686567;1
CP105;2;0,858768407;1
CP105;2;0,82778865;1
CP105;2;0,856560954;1
CP105;2;0,782885995;1
CP105;2;0,920634921;1
CP105;2;0,863520871;1
CP105;2;0,918066366;1
CP105;2;0,925187032;1
CP105;2;0,796290051;1
CP105;2;0,857191201;1
CP106;2;0,898687311;1
CP106;2;0,970373377;1
CP106;2;0,930982584;1
CP106;2;0,872756282;1
CP106;2;0,950387051;1
CP106;2;0,851433536;1
CP106;2;1,02845995;1
CP106;2;0,849583829;1
CP106;2;0,892148645;1
CP106;2;0,8470224;1
CP106;2;0,872944694;1
CP106;2;0,944483986;1
CP106;2;1,052102618;1
CP106;2;1,141129032;1
CP106;2;1,040901771;1
CP106;2;1,315375303;1
CP106;2;0,944960686;1
CP106;2;0,923976608;1
CP106;2;1,129562644;1
CP106;2;0,85764294;1
CP106;2;0,923253442;1
CP106;2;0,89703009;1
CP106;2;0,95014245;1
CP106;2;0,930264514;1
CP106;2;1,125618812;1
CP106;2;0,992465341;1
CP106;2;0,933800127;1
CP106;2;1,196961009;1
CP106;2;1,138167388;1
CP106;2;1,002667378;1
CP106;2;0,95227215;1
CP106;2;0,940172884;1
CP106;2;0,898489426;1
CP106;2;0,898796499;1
CP106;2;0,905263158;1
CP106;2;0,850469156;1
CP106;2;0,915926327;1
CP106;2;0,917767988;1
CP106;2;0,928387429;1
CP106;2;1,069043435;1
CP106;2;0,977914453;1
CP106;2;0,909762937;1
CP106;2;1,024629237;1
CP106;2;0,770822817;1
CP106;2;0,900636943;1
CP106;2;0,960754717;1
CP106;2;0,925167667;1
CP105;2;1,112833664;2
CP105;2;0,99498137;2
CP105;2;0,964441098;2
CP105;2;0,939575081;2
CP105;2;1,049385671;2
CP105;2;0,901481624;2
CP105;2;0,904849807;2
CP105;2;0,92297593;2
CP105;2;0,922881994;2
CP105;2;0,936984648;2
CP105;2;0,921749447;2
CP105;2;0,870015894;2
CP105;2;0,951763249;2
CP105;2;0,914146841;2
CP105;2;0,944194787;2
CP105;2;1,066759003;2
CP105;2;0,909982129;2
CP105;2;0,899191132;2
CP105;2;0,947304037;2
CP105;2;0,929867987;2
CP105;2;0,854897219;2
CP105;2;0,915926179;2
CP105;2;0,88487526;2
CP105;2;0,881169509;2
CP105;2;0,953671388;2
CP105;2;0,923772493;2
CP105;2;0,852324362;2
CP105;2;0,962915692;2
CP105;2;0,962321792;2
CP105;2;0,926152442;2
CP105;2;0,966273571;2
CP105;2;0,909413854;2
CP105;2;0,895099376;2
CP105;2;0,909930527;2
CP105;2;0,935961619;2
CP105;2;0,84106997;2
CP105;2;0,908961806;2
CP105;2;0,804204204;2
CP105;2;0,872324858;2
CP105;2;0,853979838;2
CP105;2;0,860452901;2
CP105;2;0,993602047;2
CP105;2;0,954957338;2
CP105;2;0,971754341;2
CP105;2;0,981058033;2
CP105;2;0,949670376;2
CP105;2;0,904523481;2
CP106;2;0,921462724;2
CP106;2;0,905831428;2
CP106;2;0,840397281;2
CP106;2;0,866503188;2
CP106;2;0,90591245;2
CP106;2;0,894822152;2
CP106;2;0,860021919;2
CP106;2;0,913985588;2
CP106;2;0,842923914;2
CP106;2;0,871439754;2
CP106;2;0,890313637;2
CP106;2;0,866177932;2
CP106;2;0,919002356;2
CP106;2;1,055019853;2
CP106;2;0,863057325;2
CP106;2;1,239225712;2
CP106;2;0,941811515;2
CP106;2;0,896565878;2
CP106;2;1,304147926;2
CP106;2;0,857211144;2
CP106;2;0,921117271;2
CP106;2;0,888431584;2
CP106;2;0,88430804;2
CP106;2;0,879032258;2
CP106;2;0,948037755;2
CP106;2;0,938341814;2
CP106;2;0,866894034;2
CP106;2;0,886257859;2
CP106;2;0,969216242;2
CP106;2;0,866501208;2
CP106;2;0,858265741;2
CP106;2;0,832581906;2
CP106;2;0,826327525;2
CP106;2;0,864492999;2
CP106;2;0,832074902;2
CP106;2;0,848869858;2
CP106;2;0,887071785;2
CP106;2;0,860621956;2
CP106;2;0,873919931;2
CP106;2;0,934744268;2
CP106;2;0,859798705;2
CP106;2;0,917295296;2
CP106;2;0,957494983;2
CP106;2;0,808815912;2
CP106;2;0,874211749;2
CP106;2;0,922906948;2
CP106;2;0,86302992;2
CP105;3;0,95839599;1
CP105;3;0,79510096;1
CP105;3;0,888844302;1
CP105;3;0,772605876;1
CP105;3;0,901497242;1
CP105;3;0,845064725;1
CP105;3;0,824415468;1
CP105;3;0,697691735;1
CP105;3;0,775072464;1
CP105;3;0,853839566;1
CP105;3;0,785226078;1
CP105;3;0,82757441;1
CP105;3;0,834862385;1
CP105;3;0,866485937;1
CP105;3;0,910069178;1
CP105;3;0,899639226;1
CP105;3;0,9652645;1
CP105;3;0,902040816;1
CP105;3;0,847204574;1
CP105;3;0,916936672;1
CP105;3;0,819183795;1
CP105;3;0,795863309;1
CP105;3;0,797619048;1
CP105;3;0,838586957;1
CP105;3;0,905496988;1
CP105;3;0,893956351;1
CP105;3;0,86431833;1
CP105;3;0,880273202;1
CP105;3;0,905274115;1
CP105;3;0,983560545;1
CP105;3;0,874107143;1
CP105;3;0,869575641;1
CP105;3;0,8125;1
CP105;3;0,843478261;1
CP105;3;0,804470855;1
CP105;3;0,731911653;1
CP105;3;0,890671642;1
CP105;3;0,797523427;1
CP105;3;0,765601218;1
CP105;3;0,812918243;1
CP105;3;0,741163965;1
CP105;3;0,889355742;1
CP105;3;0,863520871;1
CP105;3;0,861941827;1
CP105;3;0,907374421;1
CP105;3;0,782462057;1
CP105;3;0,802707276;1
CP106;3;0,939414339;1
CP106;3;1,017857143;1
CP106;3;0,944098043;1
CP106;3;0,884323893;1
CP106;3;1,097466573;1
CP106;3;0,923110339;1
CP106;3;1,083543723;1
CP106;3;0,840665874;1
CP106;3;0,906119028;1
CP106;3;0,847750865;1
CP106;3;0,826856004;1
CP106;3;0,954448399;1
CP106;3;1,215286961;1
CP106;3;1,367607527;1
CP106;3;1,085346216;1
CP106;3;1,611380145;1
CP106;3;0,978198713;1
CP106;3;1,013645224;1
CP106;3;1,142058533;1
CP106;3;0,879521587;1
CP106;3;0,969403366;1
CP106;3;0,913051973;1
CP106;3;0,966951567;1
CP106;3;0,943661972;1
CP106;3;1,283106436;1
CP106;3;1,049728752;1
CP106;3;0,989815404;1
CP106;3;1,896215596;1
CP106;3;1,423881674;1
CP106;3;1,149373166;1
CP106;3;1,006346789;1
CP106;3;0,955641492;1
CP106;3;0,874320242;1
CP106;3;0,952771699;1
CP106;3;0,91354616;1
CP106;3;0,86424436;1
CP106;3;0,95687974;1
CP106;3;0,99014055;1
CP106;3;0,942555384;1
CP106;3;1,207130304;1
CP106;3;0,931786413;1
CP106;3;0,929135865;1
CP106;3;1,046875;1
CP106;3;0,793286219;1
CP106;3;0,965859873;1
CP106;3;1,025283019;1
CP106;3;0,977409107;1
CP105;3;1,16342231;2
CP105;3;1,02471295;2
CP105;3;1,001840696;2
CP105;3;0,95664386;2
CP105;3;1,069331419;2
CP105;3;0,904752742;2
CP105;3;0,919533479;2
CP105;3;0,982056893;2
CP105;3;0,952058078;2
CP105;3;0,953408862;2
CP105;3;0,925308742;2
CP105;3;0,84990671;2
CP105;3;0,962518741;2
CP105;3;0,906676899;2
CP105;3;0,969850478;2
CP105;3;1,078808864;2
CP105;3;0,9604289;2
CP105;3;0,923082684;2
CP105;3;0,965371224;2
CP105;3;0,973666117;2
CP105;3;0,885865914;2
CP105;3;0,922656291;2
CP105;3;0,909996535;2
CP105;3;0,890219283;2
CP105;3;0,973722028;2
CP105;3;0,970340899;2
CP105;3;0,846906676;2
CP105;3;0,978089768;2
CP105;3;0,976039296;2
CP105;3;0,936832497;2
CP105;3;0,965646898;2
CP105;3;0,982033065;2
CP105;3;0,887350219;2
CP105;3;0,926358807;2
CP105;3;0,925114727;2
CP105;3;0,857949905;2
CP105;3;0,927946782;2
CP105;3;0,827747748;2
CP105;3;0,88689714;2
CP105;3;0,890531264;2
CP105;3;0,839675499;2
CP105;3;1,030435975;2
CP105;3;0,963357365;2
CP105;3;1,002073076;2
CP105;3;1,019696627;2
CP105;3;0,971503509;2
CP105;3;0,918450737;2
CP106;3;0,891623871;2
CP106;3;0,912283567;2
CP106;3;0,809963884;2
CP106;3;0,861108386;2
CP106;3;0,878695281;2
CP106;3;0,894822152;2
CP106;3;0,80351924;2
CP106;3;0,860651578;2
CP106;3;0,996858478;2
CP106;3;0,865598844;2
CP106;3;0,807225784;2
CP106;3;0,869346421;2
CP106;3;0,841173125;2
CP106;3;1,025051995;2
CP106;3;0,850607991;2
CP106;3;1,212685659;2
CP106;3;0,954644215;2
CP106;3;0,873580517;2
CP106;3;1,315942029;2
CP106;3;0,859054903;2
CP106;3;0,887220156;2
CP106;3;0,863800418;2
CP106;3;0,839403154;2
CP106;3;0,856671554;2
CP106;3;0,940188773;2
CP106;3;0,895914397;2
CP106;3;0,842924392;2
CP106;3;0,811790643;2
CP106;3;0,971576959;2
CP106;3;0,839788387;2
CP106;3;0,825988795;2
CP106;3;1,070814548;2
CP106;3;0,815261376;2
CP106;3;0,847972482;2
CP106;3;0,804892782;2
CP106;3;0,8251439;2
CP106;3;0,867160154;2
CP106;3;0,932633945;2
CP106;3;0,871183756;2
CP106;3;0,863945578;2
CP106;3;0,824283608;2
CP106;3;0,896356238;2
CP106;3;0,935573509;2
CP106;3;0,79488242;2
CP106;3;0,856953203;2
CP106;3;0,912758818;2
CP106;3;0,809505013;2
CP105;4;0,961403509;1
CP105;4;0,796756041;1
CP105;4;0,874398074;1
CP105;4;0,797787104;1
CP105;4;0,908195429;1
CP105;4;0,815533981;1
CP105;4;0,809577338;1
CP105;4;0,735170017;1
CP105;4;0,760289855;1
CP105;4;0,844704539;1
CP105;4;0,781808623;1
CP105;4;0,821758467;1
CP105;4;0,857033639;1
CP105;4;0,86038631;1
CP105;4;0,887009992;1
CP105;4;0,897671368;1
CP105;4;0,942638623;1
CP105;4;0,886621315;1
CP105;4;0,844663278;1
CP105;4;0,822385862;1
CP105;4;0,783139708;1
CP105;4;0,78381295;1
CP105;4;0,797313797;1
CP105;4;0,811684783;1
CP105;4;0,920180723;1
CP105;4;0,969501959;1
CP105;4;0,801696021;1
CP105;4;0,872237847;1
CP105;4;0,877168633;1
CP105;4;0,93584603;1
CP105;4;0,833258929;1
CP105;4;0,856868856;1
CP105;4;0,798141892;1
CP105;4;0,800280505;1
CP105;4;0,779003962;1
CP105;4;0,73140391;1
CP105;4;0,839925373;1
CP105;4;0,771753681;1
CP105;4;0,705153294;1
CP105;4;0,76694792;1
CP105;4;0,738772256;1
CP105;4;0,857609711;1
CP105;4;0,837023593;1
CP105;4;0,858254814;1
CP105;4;0,87353046;1
CP105;4;0,763575042;1
CP105;4;0,81962775;1
CP106;4;1,004375631;1
CP106;4;1,046266234;1
CP106;4;0,983874436;1
CP106;4;0,929397686;1
CP106;4;1,163617171;1
CP106;4;0,98479583;1
CP106;4;1,197842552;1
CP106;4;0,892786365;1
CP106;4;1,027661358;1
CP106;4;0,845201238;1
CP106;4;0,884404584;1
CP106;4;1,028944247;1
CP106;4;1,475271092;1
CP106;4;1,728830645;1
CP106;4;1,196135266;1
CP106;4;1,981234867;1
CP106;4;1,073266619;1
CP106;4;1,215204678;1
CP106;4;1,212430122;1
CP106;4;0,890023337;1
CP106;4;1,025752167;1
CP106;4;0,933958578;1
CP106;4;1,07008547;1
CP106;4;0,989350739;1
CP106;4;1,421101485;1
CP106;4;1,170283303;1
CP106;4;1,111818375;1
CP106;4;1,987958716;1
CP106;4;1,703823954;1
CP106;4;1,557748733;1
CP106;4;1,176186849;1
CP106;4;0,954049136;1
CP106;4;0,879758308;1
CP106;4;1,012399708;1
CP106;4;0,818291631;1
CP106;4;0,849670593;1
CP106;4;0,985698808;1
CP106;4;1,004824837;1
CP106;4;0,898505925;1
CP106;4;1,32262114;1
CP106;4;0,943528096;1
CP106;4;0,984705582;1
CP106;4;1,093485169;1
CP106;4;0,912670369;1
CP106;4;1,024203822;1
CP106;4;1,128679245;1
CP106;4;1,075185316;1
CP105;4;1,190348525;2
CP105;4;1,041517755;2
CP105;4;0,999497992;2
CP105;4;0,966870724;2
CP105;4;1,082814744;2
CP105;4;0,913604002;2
CP105;4;0,93245511;2
CP105;4;0,957361676;2
CP105;4;0,943017602;2
CP105;4;0,974324596;2
CP105;4;0,928868036;2
CP105;4;0,85101237;2
CP105;4;0,95776025;2
CP105;4;0,880890253;2
CP105;4;0,980227143;2
CP105;4;1,116066482;2
CP105;4;0,974112841;2
CP105;4;0,91559317;2
CP105;4;0,960854427;2
CP105;4;0,955651815;2
CP105;4;0,888015585;2
CP105;4;0,915295231;2
CP105;4;0,924116424;2
CP105;4;0,91500174;2
CP105;4;0,964004653;2
CP105;4;0,933628719;2
CP105;4;0,900384481;2
CP105;4;0,971282706;2
CP105;4;0,978075955;2
CP105;4;0,980282976;2
CP105;4;0,964792343;2
CP105;4;0,995286241;2
CP105;4;0,907368874;2
CP105;4;0,931344503;2
CP105;4;0,931024892;2
CP105;4;0,839708685;2
CP105;4;0,906345766;2
CP105;4;0,811831832;2
CP105;4;0,888116578;2
CP105;4;0,855031233;2
CP105;4;0,8427104;2
CP105;4;1,045151266;2
CP105;4;0,968450294;2
CP105;4;1,015375313;2
CP105;4;1,034487963;2
CP105;4;0,980293471;2
CP105;4;0,922479282;2
CP106;4;0,851159908;2
CP106;4;0,916122182;2
CP106;4;0,783513915;2
CP106;4;0,849828347;2
CP106;4;0,868675384;2
CP106;4;0,920126069;2
CP106;4;0,79219435;2
CP106;4;0,820207044;2
CP106;4;1,043521569;2
CP106;4;0,828445836;2
CP106;4;0,754981806;2
CP106;4;0,863506461;2
CP106;4;0,78917865;2
CP106;4;0,954244659;2
CP106;4;0,832151129;2
CP106;4;1,160701242;2
CP106;4;0,950230853;2
CP106;4;0,87631687;2
CP106;4;1,31854073;2
CP106;4;1,152622234;2
CP106;4;0,875078953;2
CP106;4;0,843158361;2
CP106;4;0,820097589;2
CP106;4;0,884072581;2
CP106;4;0,901937407;2
CP106;4;0,870023945;2
CP106;4;0,804832357;2
CP106;4;0,6918429;2
CP106;4;0,906421152;2
CP106;4;0,815100255;2
CP106;4;0,813362321;2
CP106;4;1,152209197;2
CP106;4;0,967131885;2
CP106;4;0,832033332;2
CP106;4;0,944729689;2
CP106;4;0,841920539;2
CP106;4;0,84770758;2
CP106;4;0,871487448;2
CP106;4;0,820852535;2
CP106;4;0,814184933;2
CP106;4;0,799602539;2
CP106;4;0,893841723;2
CP106;4;0,933103484;2
CP106;4;0,878379778;2
CP106;4;0,87009625;2
CP106;4;0,891153122;2
